Brand,Model,KM_Driven,Fuel,Seller_Type,Transmission,Owner
Mahindra,Mahindra Marazzo M4,15000,Diesel,Individual,Manual,Second Owner
Toyota,Toyota Etios Cross 1.2L G,60000,Petrol,Individual,Manual,First Owner
Renault,Renault Duster 110PS Diesel RxZ,120000,Diesel,Individual,Manual,First Owner
Mahindra,Mahindra KUV 100 mFALCON D75 K8 AW,90000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Swift Dzire VXI,90000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Omni MPI STD BSIV,10000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai i20 Asta 1.4 CRDi (Diesel),72000,Diesel,Individual,Manual,Second Owner
Toyota,Toyota Innova 2.0 GX 8 STR BSIV,197000,Petrol,Individual,Manual,Second Owner
Maruti,Maruti Zen LXI,70000,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai Santro LP zipPlus,50000,Petrol,Individual,Manual,Third Owner
Tata,Tata Hexa XTA,50000,Diesel,Individual,Automatic,First Owner
Hyundai,Hyundai Verna 1.6 SX VTVT AT,60000,Petrol,Individual,Automatic,Third Owner
Maruti,Maruti Swift Dzire VXI 1.2 BS IV,40000,Petrol,Individual,Manual,First Owner
Maruti,Maruti SX4 ZDI Leather,60000,Diesel,Individual,Manual,Second Owner
Tata,Tata Nano LX,40000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Ignis 1.2 Alpha BSIV,9161,Petrol,Individual,Manual,First Owner
Honda,Honda Mobilio V i VTEC,45000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai Getz 1.3 GVS,110000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai Santro Xing GL Plus,80000,Petrol,Individual,Manual,First Owner
Ford,Ford Fiesta Titanium 1.5 TDCi,100000,Diesel,Individual,Manual,Second Owner
Maruti,Maruti Swift Dzire LDI,90000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai Accent GLE CNG,70000,CNG,Individual,Manual,Third Owner
Maruti,Maruti Zen Estilo LXI BSIII,80000,Petrol,Individual,Manual,Third Owner
Maruti,Maruti Swift Dzire LDI,110000,Diesel,Individual,Manual,Second Owner
Hyundai,Hyundai i20 1.2 Spotz,50000,Petrol,Individual,Manual,First Owner
Tata,Tata Tigor 1.2 Revotron XM,5000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai i10 Magna 1.1,90000,Petrol,Individual,Manual,Third Owner
Hyundai,Hyundai Santro Xing GLS,120000,Petrol,Individual,Manual,First Owner
Nissan,Nissan Sunny Diesel XV,80000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai i20 1.2 Spotz,38000,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai Santro Xing GLS,120000,Petrol,Individual,Manual,First Owner
Tata,Tata Indigo CR4,90000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Alto 800 LXI,50000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Alto 800 LXI,60000,Petrol,Individual,Manual,First Owner
Mahindra,Mahindra XUV500 W8 2WD,100000,Diesel,Individual,Manual,Second Owner
Tata,Tata Nano Std,19000,Petrol,Individual,Manual,First Owner
Chevrolet,Chevrolet Tavera LT L1 7 Seats BSIII,200000,Diesel,Individual,Manual,Third Owner
Mahindra,Mahindra Verito 1.5 D2 BSIV,70000,Diesel,Individual,Manual,Second Owner
Maruti,Maruti Swift VDI,50000,Diesel,Individual,Manual,Second Owner
Maruti,Maruti Alto LX,19077,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai EON D Lite,30000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Alto LXi,80000,Petrol,Individual,Manual,Second Owner
Toyota,Toyota Innova 2.5 GX (Diesel) 7 Seater,128000,Diesel,Individual,Manual,First Owner
Nissan,Nissan Terrano XV Premium 110 PS,80000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Baleno Alpha 1.3,100000,Diesel,Individual,Manual,First Owner
Nissan,Nissan Sunny XV D Premium Leather,50000,Diesel,Individual,Manual,First Owner
Toyota,Toyota Etios Liva GD,56000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai EON 1.0 Era Plus,21302,Petrol,Individual,Manual,First Owner
Renault,Renault KWID 1.0 RXT Optional,10500,Petrol,Individual,Manual,First Owner
Mahindra,Mahindra Bolero 2011-2019 SLX,107000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai i10 Sportz 1.2,60000,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai Santro Xing XG eRLX Euro III,120000,Petrol,Individual,Manual,Second Owner
Maruti,Maruti Wagon R LXI BS IV,70000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Alto 800 LXI,50000,Petrol,Individual,Manual,Second Owner
Toyota,Toyota Etios Liva GD,70000,Diesel,Individual,Manual,Second Owner
Renault,Renault Duster 85PS Diesel RxL,1000,Diesel,Dealer,Manual,Second Owner
Mercedes-Benz,Mercedes-Benz C-Class Progressive C 220d,10000,Diesel,Dealer,Automatic,First Owner
Audi,Audi A4 3.0 TDI Quattro,86000,Diesel,Dealer,Automatic,First Owner
BMW,BMW X5 xDrive 30d xLine,30000,Diesel,Dealer,Automatic,First Owner
Hyundai,Hyundai Creta 1.6 CRDi SX,52600,Diesel,Individual,Manual,First Owner
Maruti,Maruti SX4 Vxi BSIV,110000,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai Grand i10 1.2 Kappa Magna AT,19890,Petrol,Dealer,Automatic,First Owner
Maruti,Maruti Swift ZXI BSIV,7104,Petrol,Trustmark Dealer,Manual,First Owner
Maruti,Maruti Ertiga VXI,11918,Petrol,Trustmark Dealer,Manual,First Owner
Hyundai,Hyundai Grand i10 Magna AT,10510,Petrol,Dealer,Automatic,First Owner
Chevrolet,Chevrolet Beat LT Option,41000,Petrol,Dealer,Manual,First Owner
Toyota,Toyota Fortuner 4x2 AT,47162,Diesel,Trustmark Dealer,Automatic,First Owner
Maruti,Maruti S-Cross Zeta DDiS 200 SH,45974,Diesel,Trustmark Dealer,Manual,First Owner
Hyundai,Hyundai i10 Magna,49824,Petrol,Dealer,Manual,First Owner
Audi,Audi A6 2.0 TDI Premium Plus,58500,Diesel,Dealer,Automatic,First Owner
Hyundai,Hyundai Santro GS,56580,Petrol,Dealer,Manual,First Owner
Skoda,Skoda Laura Ambiente 2.0 TDI CR MT,52000,Diesel,Dealer,Manual,First Owner
Hyundai,Hyundai Verna 1.6 VTVT SX,55340,Petrol,Trustmark Dealer,Manual,First Owner
Maruti,Maruti Swift Dzire VDI,46507,Diesel,Trustmark Dealer,Manual,First Owner
Renault,Renault Duster 85PS Diesel RxL,1000,Diesel,Dealer,Manual,Second Owner
Mercedes-Benz,Mercedes-Benz C-Class Progressive C 220d,10000,Diesel,Dealer,Automatic,First Owner
Audi,Audi A4 3.0 TDI Quattro,86000,Diesel,Dealer,Automatic,First Owner
BMW,BMW X5 xDrive 30d xLine,30000,Diesel,Dealer,Automatic,First Owner
Hyundai,Hyundai Creta 1.6 CRDi SX,52600,Diesel,Individual,Manual,First Owner
Maruti,Maruti SX4 Vxi BSIV,110000,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai Grand i10 1.2 Kappa Magna AT,19890,Petrol,Dealer,Automatic,First Owner
Maruti,Maruti Swift ZXI BSIV,7104,Petrol,Trustmark Dealer,Manual,First Owner
Maruti,Maruti Ertiga VXI,11918,Petrol,Trustmark Dealer,Manual,First Owner
Hyundai,Hyundai Grand i10 Magna AT,10510,Petrol,Dealer,Automatic,First Owner
Chevrolet,Chevrolet Beat LT Option,41000,Petrol,Dealer,Manual,First Owner
Toyota,Toyota Fortuner 4x2 AT,47162,Diesel,Trustmark Dealer,Automatic,First Owner
Maruti,Maruti S-Cross Zeta DDiS 200 SH,45974,Diesel,Trustmark Dealer,Manual,First Owner
Hyundai,Hyundai i10 Magna,49824,Petrol,Dealer,Manual,First Owner
Audi,Audi A6 2.0 TDI Premium Plus,58500,Diesel,Dealer,Automatic,First Owner
Hyundai,Hyundai Santro GS,56580,Petrol,Dealer,Manual,First Owner
Skoda,Skoda Laura Ambiente 2.0 TDI CR MT,52000,Diesel,Dealer,Manual,First Owner
Hyundai,Hyundai Verna 1.6 VTVT SX,55340,Petrol,Trustmark Dealer,Manual,First Owner
Maruti,Maruti Swift Dzire VDI,46507,Diesel,Trustmark Dealer,Manual,First Owner
Volkswagen,Volkswagen Jetta 2.0L TDI Highline AT,55300,Diesel,Dealer,Automatic,First Owner
Tata,Tata Indica Vista Quadrajet 90 VX,74300,Diesel,Dealer,Manual,First Owner
Honda,Honda City VX MT,48781,Petrol,Dealer,Manual,First Owner
Volkswagen,Volkswagen Jetta 1.9 Highline TDI,87620,Diesel,Dealer,Automatic,First Owner
Volkswagen,Volkswagen Vento 1.5 TDI Highline Plus AT,40219,Diesel,Dealer,Automatic,First Owner
Honda,Honda Jazz VX,11473,Petrol,Dealer,Manual,First Owner
Maruti,Maruti Eeco 5 Seater AC BSIV,8352,Petrol,Dealer,Manual,First Owner
Maruti,Maruti Wagon R VXI AMT1.2BSIV,9745,Petrol,Dealer,Automatic,First Owner
Hyundai,Hyundai Grand i10 Asta,9748,Petrol,Dealer,Manual,First Owner
Volkswagen,Volkswagen Polo 1.0 MPI Trendline,49000,Petrol,Dealer,Manual,First Owner
Hyundai,Hyundai Creta 1.6 CRDi SX Option,20694,Diesel,Dealer,Manual,First Owner
Hyundai,Hyundai Grand i10 Asta Option,31080,Petrol,Dealer,Manual,First Owner
Hyundai,Hyundai EON Era Plus,37605,Petrol,Dealer,Manual,First Owner
Hyundai,Hyundai Xcent 1.1 CRDi SX Option,55850,Diesel,Dealer,Manual,First Owner
Tata,Tata Nano Lx BSIV,58850,Petrol,Dealer,Manual,First Owner
Toyota,Toyota Etios Cross 1.2L G,23839,Petrol,Dealer,Manual,First Owner
Maruti,Maruti Swift DDiS LDI,54000,Diesel,Dealer,Manual,First Owner
Hyundai,Hyundai i10 Sportz 1.2 AT,38000,Petrol,Dealer,Automatic,First Owner
Volkswagen,Volkswagen Vento 1.5 TDI Comfortline,45454,Diesel,Dealer,Manual,First Owner
Skoda,Skoda Rapid 1.5 TDI AT Ambition,46957,Diesel,Dealer,Automatic,First Owner
Hyundai,Hyundai Getz GLE,60000,Petrol,Individual,Manual,Fourth & Above Owner
Renault,Renault KWID RXT Optional,25000,Petrol,Individual,Manual,First Owner
Mahindra,Mahindra Scorpio M2DI,110000,Diesel,Individual,Manual,Fourth & Above Owner
Ford,Ford Endeavour XLT TDCi 4X2,190000,Diesel,Individual,Manual,Second Owner
Audi,Audi Q3 35 TDI Quattro Technology,25000,Diesel,Individual,Automatic,First Owner
Mahindra,Mahindra Renault Logan 1.4 GLX Petrol,90000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Alto K10 VXI,5000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Swift VDI BSIV,60000,Diesel,Individual,Manual,First Owner
Audi,Audi A5 Sportback,1500,Diesel,Individual,Automatic,First Owner
Maruti,Maruti Swift Dzire VDI,50000,Diesel,Individual,Manual,First Owner
Chevrolet,Chevrolet Sail Hatchback 1.3 TCDi LT ABS,120000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai Accent CRDi,120000,Diesel,Individual,Manual,Second Owner
Maruti,Maruti Alto K10 VXI Airbag,5000,Petrol,Individual,Manual,First Owner
BMW,BMW 7 Series Signature 730Ld,47000,Diesel,Individual,Automatic,First Owner
Toyota,Toyota Camry 2.5 Hybrid,20000,Petrol,Individual,Automatic,First Owner
Hyundai,Hyundai Santro Xing XG,120000,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai Grand i10 CRDi Sportz,58000,Diesel,Individual,Manual,First Owner
Mahindra,Mahindra XUV500 W5 BSIV,35000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Alto K10 VXI,30000,Petrol,Individual,Manual,First Owner
Mahindra,Mahindra XUV300 W8 Option Diesel BSIV,10000,Diesel,Individual,Manual,First Owner
Toyota,Toyota Innova Crysta 2.4 VX MT BSIV,25000,Diesel,Individual,Manual,First Owner
Mahindra,Mahindra Thar CRDe,20000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Swift Dzire ZDI,50000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai EON Magna Plus,42000,Petrol,Individual,Manual,First Owner
Tata,Tata Hexa XM,50000,Diesel,Individual,Manual,First Owner
Honda,Honda Mobilio E i DTEC,116000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Ertiga ZDI,100000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Ciaz ZXi Plus,66000,Petrol,Individual,Manual,First Owner
Mahindra,Mahindra Scorpio LX,110000,Diesel,Individual,Manual,Third Owner
Fiat,Fiat Grande Punto EVO 1.3 Dynamic,70000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai Creta 1.6 CRDi SX Option,60000,Diesel,Individual,Manual,First Owner
Ford,Ford Endeavour Hurricane Limited Edition,110000,Diesel,Individual,Automatic,Fourth & Above Owner
Tata,Tata Indica Vista TDI LS,25000,Diesel,Individual,Manual,First Owner
Land,Land Rover Discovery S 2.0 SD4,68000,Petrol,Individual,Automatic,First Owner
Maruti,Maruti Alto 800 LXI,20000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai i10 Era 1.1 iTech SE,110000,Petrol,Individual,Manual,Second Owner
Maruti,Maruti Vitara Brezza VDi Option,26350,Diesel,Individual,Manual,First Owner
Mahindra,Mahindra Scorpio SLE BSIV,90000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai i20 Sportz Option 1.2,25000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai Santro Xing GLS,50000,Petrol,Individual,Manual,Second Owner
Tata,Tata Indica LSI,60000,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai EON Era Plus,70000,Petrol,Individual,Manual,Third Owner
Ford,Ford Endeavour 3.0L 4X4 AT,90000,Diesel,Individual,Automatic,Second Owner
Hyundai,Hyundai Santro LE zipPlus,70000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai Grand i10 1.2 Kappa Asta,26500,Petrol,Individual,Manual,First Owner
Tata,Tata Indigo CR4,60000,Diesel,Individual,Manual,First Owner
Mahindra,Mahindra Scorpio S11 BSIV,35000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai Creta 1.4 EX Diesel,10000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Ritz LXI,15000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai i20 Magna 1.2,25000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai Verna CRDi 1.6 SX,50000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai Grand i10 1.2 Kappa Sportz BSIV,25000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Alto LX,52000,Petrol,Individual,Manual,Second Owner
Honda,Honda Brio 1.2 S MT,15000,Petrol,Individual,Manual,First Owner
Tata,Tata Nano Lx,20000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai i20 Asta 1.4 CRDi,90000,Diesel,Individual,Manual,First Owner
Tata,Tata Indigo LX,60000,Diesel,Individual,Manual,Second Owner
Skoda,Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,23000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Alto K10 VXI,22155,Petrol,Individual,Manual,First Owner
Tata,Tata Nano Lx,20000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Ciaz 1.4 Delta,70000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Alto LX,60000,Petrol,Individual,Manual,Second Owner
Ford,Ford Figo Aspire 1.2 Ti-VCT Trend,35000,Petrol,Individual,Manual,First Owner
Mahindra,Mahindra XUV500 W8 4WD,71042,Diesel,Dealer,Manual,First Owner
Mitsubishi,Mitsubishi Pajero Sport 4X4,167870,Diesel,Dealer,Manual,Second Owner
Ford,Ford Fiesta 1.5 TDCi Titanium,133564,Diesel,Dealer,Manual,First Owner
Mercedes-Benz,Mercedes-Benz C-Class Progressive C 220d,10000,Diesel,Dealer,Automatic,First Owner
BMW,BMW 3 Series 320d Sport,40000,Diesel,Dealer,Automatic,First Owner
BMW,BMW X5 xDrive 30d xLine,30000,Diesel,Dealer,Automatic,First Owner
Honda,Honda City i-VTEC CVT ZX,23038,Petrol,Trustmark Dealer,Automatic,First Owner
Chevrolet,Chevrolet Beat Diesel LS,70000,Diesel,Individual,Manual,First Owner
BMW,BMW 3 Series GT Luxury Line,30000,Diesel,Individual,Automatic,First Owner
Hyundai,Hyundai Grand i10 1.2 Kappa Magna AT,19890,Petrol,Dealer,Automatic,First Owner
Maruti,Maruti Ertiga VXI,11918,Petrol,Trustmark Dealer,Manual,First Owner
Hyundai,Hyundai Grand i10 Magna AT,10510,Petrol,Dealer,Automatic,First Owner
Chevrolet,Chevrolet Beat LT Option,41000,Petrol,Dealer,Manual,First Owner
Toyota,Toyota Fortuner 4x2 AT,47162,Diesel,Trustmark Dealer,Automatic,First Owner
Hyundai,Hyundai i10 Magna,49824,Petrol,Dealer,Manual,First Owner
Audi,Audi A6 2.0 TDI Premium Plus,58500,Diesel,Dealer,Automatic,First Owner
Maruti,Maruti Baleno Delta 1.2,43608,Petrol,Trustmark Dealer,Manual,First Owner
Maruti,Maruti Baleno Alpha CVT,11212,Petrol,Trustmark Dealer,Automatic,First Owner
Hyundai,Hyundai i20 1.4 Magna Executive,52000,Diesel,Dealer,Manual,First Owner
Maruti,Maruti Baleno Zeta,49217,Petrol,Trustmark Dealer,Manual,First Owner
Mahindra,Mahindra Verito 1.5 D4 BSIV,90000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai Xcent 1.2 Kappa S,70000,Petrol,Individual,Manual,First Owner
Honda,Honda City VTEC,90000,Petrol,Individual,Manual,Fourth & Above Owner
Maruti,Maruti Swift Dzire VDi,190000,Diesel,Individual,Manual,Third Owner
Ford,Ford Endeavour 3.2 Titanium AT 4X4,106000,Diesel,Individual,Automatic,First Owner
Tata,Tata Xenon XT EX 4X2,80000,Diesel,Individual,Manual,Second Owner
Nissan,Nissan Terrano XL Plus 85 PS,80000,Diesel,Individual,Manual,Second Owner
Maruti,Maruti Eeco 7 Seater Standard BSIV,20000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Ertiga ZDI,110000,Diesel,Individual,Manual,Second Owner
Ford,Ford Ecosport 1.5 DV5 MT Ambiente,60000,Diesel,Individual,Manual,Second Owner
Skoda,Skoda Laura Elegance 1.9 TDI  AT,130000,Diesel,Individual,Automatic,Second Owner
Hyundai,Hyundai EON 1.0 Era Plus,28838,Petrol,Individual,Manual,First Owner
Tata,Tata Indica GLS BS IV,200000,Petrol,Individual,Manual,First Owner
Tata,Tata Indica DLS,100000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Alto 800 LXI Airbag,50000,Petrol,Individual,Manual,First Owner
Mahindra,Mahindra Bolero SLX 2WD,190000,Diesel,Individual,Manual,Fourth & Above Owner
Mahindra,Mahindra Jeep MM 540,100000,Diesel,Individual,Manual,Second Owner
Mahindra,Mahindra Scorpio 1.99 S10,135000,Diesel,Individual,Manual,Second Owner
Mahindra,Mahindra Bolero Power Plus Plus AC BSIV PS,50000,Diesel,Individual,Manual,Third Owner
Skoda,Skoda Octavia Elegance 2.0 TDI AT,135000,Diesel,Individual,Automatic,Third Owner
Chevrolet,Chevrolet Beat Diesel LS,50000,Diesel,Individual,Manual,First Owner
Honda,Honda Jazz 1.5 VX i DTEC,19571,Diesel,Dealer,Manual,First Owner
Honda,Honda City i-VTEC ZX,29600,Petrol,Dealer,Manual,First Owner
Maruti,Maruti Swift LXI,70000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Vitara Brezza ZDi Plus AMT Dual Tone,15000,Diesel,Individual,Automatic,First Owner
Maruti,Maruti Celerio LXI MT BSIV,50000,Petrol,Individual,Manual,First Owner
Renault,Renault Captur 1.5 Diesel RXT,13500,Diesel,Individual,Manual,First Owner
Audi,Audi A4 30 TFSI Technology,22000,Petrol,Individual,Automatic,First Owner
Honda,Honda Amaze VX Diesel BSIV,25000,Diesel,Dealer,Manual,First Owner
Toyota,Toyota Corolla Altis 1.8 VL AT,80000,Petrol,Individual,Automatic,Third Owner
Honda,Honda Amaze VX Petrol BSIV,39000,Petrol,Dealer,Manual,First Owner
Maruti,Maruti Alto 800 VXI,60000,Petrol,Individual,Manual,First Owner
Honda,Honda Amaze VX Diesel BSIV,49000,Diesel,Dealer,Manual,First Owner
Honda,Honda Amaze VX i-VTEC,48600,Petrol,Dealer,Manual,First Owner
Hyundai,Hyundai Grand i10 Asta Option,20000,Petrol,Individual,Manual,Second Owner
Mahindra,Mahindra KUV 100 mFALCON G80 K2,25000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Zen Estilo Sports,120000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Ertiga ZDI Plus,30000,Diesel,Individual,Manual,First Owner
Renault,Renault Lodgy 85PS RxL,35000,Diesel,Individual,Manual,First Owner
Audi,Audi A4 3.0 TDI Quattro,86000,Diesel,Dealer,Automatic,First Owner
Audi,Audi Q3 2.0 TDI Quattro Premium Plus,127643,Diesel,Dealer,Automatic,First Owner
Tata,Tata Zest Revotron 1.2T XMS,54000,Petrol,Dealer,Manual,Second Owner
Audi,Audi A6 2.0 TDI  Design Edition,102354,Diesel,Dealer,Automatic,First Owner
Audi,Audi Q5 2.0 TFSI Quattro Premium Plus,62237,Petrol,Dealer,Automatic,First Owner
Hyundai,Hyundai Santro Xing XL eRLX Euro III,90000,Petrol,Dealer,Manual,Second Owner
Ford,Ford EcoSport 1.5 TDCi Titanium BSIV,21394,Diesel,Dealer,Manual,First Owner
Datsun,Datsun GO T Petrol,32686,Petrol,Dealer,Manual,First Owner
Mahindra,Mahindra Jeep CJ 500 DI,1001,Diesel,Dealer,Manual,First Owner
Renault,Renault Pulse RxZ,22000,Diesel,Dealer,Manual,First Owner
Hyundai,Hyundai Grand i10 Magna,53261,Petrol,Dealer,Manual,First Owner
Land,Land Rover Discovery Sport SD4 HSE Luxury,53000,Diesel,Dealer,Automatic,First Owner
Renault,Renault KWID 1.0 RXT Optional,10000,Petrol,Dealer,Manual,First Owner
Maruti,Maruti Baleno Alpha 1.3,14000,Diesel,Dealer,Manual,First Owner
Volkswagen,Volkswagen Polo 2015-2019 1.2 MPI Highline,44000,Petrol,Dealer,Manual,First Owner
Toyota,Toyota Etios VD,39895,Diesel,Dealer,Manual,First Owner
Chevrolet,Chevrolet Cruze LTZ AT,73000,Diesel,Dealer,Automatic,First Owner
Honda,Honda City i-VTEC SV,17000,Petrol,Dealer,Manual,First Owner
Volkswagen,Volkswagen Polo 2015-2019 1.2 MPI Highline,18591,Petrol,Dealer,Manual,First Owner
Tata,Tata Nexon 1.5 Revotorq XZ,26766,Diesel,Dealer,Manual,First Owner
Hyundai,Hyundai EON Magna Plus,30000,Petrol,Individual,Manual,First Owner
Tata,Tata Sumo Gold EX,42000,Diesel,Individual,Manual,First Owner
Honda,Honda City i DTEC VX,110000,Diesel,Individual,Manual,First Owner
Tata,Tata Indica DLE,100000,Diesel,Individual,Manual,First Owner
Tata,Tata Indica DLS,300000,Diesel,Individual,Manual,Second Owner
Tata,Tata Indigo LX,110000,Diesel,Individual,Manual,Third Owner
Ford,Ford EcoSport 1.5 TDCi Titanium BSIV,27620,Diesel,Dealer,Manual,First Owner
Ford,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,70000,Petrol,Individual,Manual,First Owner
Honda,Honda City S,50000,Petrol,Individual,Manual,Second Owner
Maruti,Maruti Swift Dzire VDI,50000,Diesel,Individual,Manual,First Owner
Mercedes-Benz,Mercedes-Benz New C-Class C 220 CDI Grand Edition,46000,Diesel,Individual,Automatic,First Owner
Toyota,Toyota Innova 2.5 VX 8 STR,82000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Omni MPI STD BSIV,120000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Alto LXi,80000,Petrol,Individual,Manual,Third Owner
Tata,Tata Indica GLS BS IV,70000,Petrol,Individual,Manual,First Owner
Maruti,Maruti S-Cross Zeta DDiS 200 SH,20000,Diesel,Individual,Manual,First Owner
Mahindra,Mahindra Xylo D4 BSIV,200000,Diesel,Individual,Manual,Second Owner
Toyota,Toyota Innova Crysta 2.5 VX BS IV,120000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai Verna CRDi 1.6 AT SX Option,30000,Diesel,Individual,Automatic,First Owner
Toyota,Toyota Innova 2.5 V Diesel 7-seater,223000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Swift Dzire VDI,60000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai i20 Asta 1.2,40000,Petrol,Individual,Manual,First Owner
Mahindra,Mahindra Scorpio S2 7 Seater,161327,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai i10 Magna 1.2 iTech SE,60000,Petrol,Individual,Manual,Third Owner
Mahindra,Mahindra Bolero DI,50000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai Grand i10 1.2 Kappa Sportz BSIV,6000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai Santro Xing XS,68000,Petrol,Individual,Manual,Second Owner
Chevrolet,Chevrolet Beat Diesel LS,85000,Diesel,Individual,Manual,First Owner
Mahindra,Mahindra Scorpio VLS AT 2.2 mHAWK,70000,Diesel,Individual,Automatic,First Owner
Maruti,Maruti Esteem VX,35000,Petrol,Individual,Manual,Second Owner
Maruti,Maruti Swift Vdi BSIII,100000,Diesel,Individual,Manual,Second Owner
Honda,Honda Amaze S i-Dtech,110000,Diesel,Individual,Manual,First Owner
Mahindra,Mahindra Scorpio VLS AT 2.2 mHAWK,195000,Diesel,Individual,Automatic,Second Owner
Maruti,Maruti Alto 800 LXI,46000,Petrol,Individual,Manual,Second Owner
Maruti,Maruti Alto LXi BSIII,60000,Petrol,Individual,Manual,Second Owner
Datsun,Datsun RediGO T Option,46000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai Grand i10 CRDi Sportz,42000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai Santro Xing XG AT,90000,Petrol,Individual,Automatic,Second Owner
Skoda,Skoda Yeti Ambition 4X2,85000,Diesel,Individual,Manual,Second Owner
Hyundai,Hyundai Verna 1.6 SX,120000,Diesel,Individual,Manual,Third Owner
Ford,Ford Ecosport 1.5 DV5 MT Titanium,72000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Wagon R LXI CNG,71000,CNG,Individual,Manual,Second Owner
Maruti,Maruti Swift Dzire VXi,110000,Petrol,Individual,Manual,Fourth & Above Owner
Maruti,Maruti Wagon R LXI CNG,71000,CNG,Individual,Manual,Second Owner
Volkswagen,Volkswagen Polo Diesel Trendline 1.2L,144000,Diesel,Individual,Manual,Fourth & Above Owner
Maruti,Maruti Eeco 5 Seater AC BSIV,30000,Petrol,Dealer,Manual,First Owner
Hyundai,Hyundai Verna SX,65000,Petrol,Dealer,Manual,First Owner
Honda,Honda Jazz 1.5 VX i DTEC,38000,Diesel,Individual,Manual,First Owner
Maruti,Maruti SX4 Celebration Petrol,90000,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai i20 Active S Diesel,37000,Diesel,Dealer,Manual,First Owner
Maruti,Maruti Alto 800 LXI,30000,Petrol,Dealer,Manual,First Owner
Honda,Honda Amaze V CVT Petrol BSIV,26000,Petrol,Dealer,Automatic,First Owner
Maruti,Maruti Ciaz ZXi,30000,Petrol,Dealer,Manual,First Owner
Hyundai,Hyundai i20 Active SX Petrol,23000,Petrol,Dealer,Manual,First Owner
Hyundai,Hyundai i10 Magna,40000,Petrol,Dealer,Manual,First Owner
