Brand,Model,Year,Selling_Price
Skoda,Skoda Octavia Elegance 2.0 TDI AT,2014,1200000
Chevrolet,Chevrolet Beat Diesel LS,2012,160000
Honda,Honda Jazz 1.5 VX i DTEC,2018,790000
Honda,Honda City i-VTEC ZX,2018,1200000
Maruti,Maruti Swift LXI,2011,175000
Maruti,Maruti Vitara Brezza ZDi Plus AMT Dual Tone,2018,950000
Maruti,Maruti Celerio LXI MT BSIV,2019,340000
Renault,Renault Captur 1.5 Diesel RXT,2017,825000
Audi,Audi A4 30 TFSI Technology,2018,3100000
Honda,Honda Amaze VX Diesel BSIV,2018,780000
Toyota,Toyota Corolla Altis 1.8 VL AT,2010,350000
Honda,Honda Amaze VX Petrol BSIV,2018,690000
Maruti,Maruti Alto 800 VXI,2016,245000
Honda,Honda Amaze VX Diesel BSIV,2018,790000
Honda,Honda Amaze VX i-VTEC,2018,680000
Hyundai,Hyundai Grand i10 Asta Option,2017,540000
Mahindra,Mahindra KUV 100 mFALCON G80 K2,2016,425000
Maruti,Maruti Zen Estilo Sports,2008,140000
Maruti,Maruti Ertiga ZDI Plus,2019,1100000
Renault,Renault Lodgy 85PS RxL,2015,715000
Audi,Audi A4 3.0 TDI Quattro,2013,1580000
Audi,Audi Q3 2.0 TDI Quattro Premium Plus,2015,1750000
Tata,Tata Zest Revotron 1.2T XMS,2018,400000
Audi,Audi A6 2.0 TDI  Design Edition,2014,1750000
Audi,Audi Q5 2.0 TFSI Quattro Premium Plus,2014,1850000
Hyundai,Hyundai Santro Xing XL eRLX Euro III,2005,114999
Ford,Ford EcoSport 1.5 TDCi Titanium BSIV,2018,950000
Datsun,Datsun GO T Petrol,2015,310000
Mahindra,Mahindra Jeep CJ 500 DI,2006,575000
Renault,Renault Pulse RxZ,2017,490000
Hyundai,Hyundai Grand i10 Magna,2017,480000
Land,Land Rover Discovery Sport SD4 HSE Luxury,2016,3500000
Renault,Renault KWID 1.0 RXT Optional,2018,370000
Maruti,Maruti Baleno Alpha 1.3,2017,835000
Volkswagen,Volkswagen Polo 2015-2019 1.2 MPI Highline,2017,650000
Toyota,Toyota Etios VD,2014,670000
Chevrolet,Chevrolet Cruze LTZ AT,2017,950000
Honda,Honda City i-VTEC SV,2014,690000
Volkswagen,Volkswagen Polo 2015-2019 1.2 MPI Highline,2017,670000
Tata,Tata Nexon 1.5 Revotorq XZ,2017,925000
Hyundai,Hyundai EON Magna Plus,2015,250000
Tata,Tata Sumo Gold EX,2016,509999
Honda,Honda City i DTEC VX,2014,520000
Tata,Tata Indica DLE,2005,100000
Tata,Tata Indica DLS,2006,85000
Tata,Tata Indigo LX,2009,130000
Ford,Ford EcoSport 1.5 TDCi Titanium BSIV,2018,950000
Ford,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,450000
Honda,Honda City S,2012,320000
Maruti,Maruti Swift Dzire VDI,2015,480000
Mercedes-Benz,Mercedes-Benz New C-Class C 220 CDI Grand Edition,2014,2490000
Toyota,Toyota Innova 2.5 VX 8 STR,2012,790000
Maruti,Maruti Omni MPI STD BSIV,2016,120000
Maruti,Maruti Alto LXi,2006,75000
Tata,Tata Indica GLS BS IV,2010,99000
Maruti,Maruti S-Cross Zeta DDiS 200 SH,2018,1015000
Mahindra,Mahindra Xylo D4 BSIV,2013,250000
Toyota,Toyota Innova Crysta 2.5 VX BS IV,2011,520000
Hyundai,Hyundai Verna CRDi 1.6 AT SX Option,2018,1100000
Toyota,Toyota Innova 2.5 V Diesel 7-seater,2005,200000
Maruti,Maruti Swift Dzire VDI,2016,525000
Hyundai,Hyundai i20 Asta 1.2,2016,500000
Mahindra,Mahindra Scorpio S2 7 Seater,2016,675000
Hyundai,Hyundai i10 Magna 1.2 iTech SE,2009,150000
Mahindra,Mahindra Bolero DI,2007,250000
Hyundai,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2018,450000
Hyundai,Hyundai Santro Xing XS,2009,150000
Chevrolet,Chevrolet Beat Diesel LS,2012,200000
Mahindra,Mahindra Scorpio VLS AT 2.2 mHAWK,2011,525000
Maruti,Maruti Esteem VX,1999,60000
Maruti,Maruti Swift Vdi BSIII,2010,180000
Honda,Honda Amaze S i-Dtech,2015,475000
Mahindra,Mahindra Scorpio VLS AT 2.2 mHAWK,2010,380000
Maruti,Maruti Alto 800 LXI,2015,285000
Maruti,Maruti Alto LXi BSIII,2008,91200
Datsun,Datsun RediGO T Option,2017,250000
Hyundai,Hyundai Grand i10 CRDi Sportz,2015,400000
Hyundai,Hyundai Santro Xing XG AT,2006,160000
Skoda,Skoda Yeti Ambition 4X2,2012,650000
Hyundai,Hyundai Verna 1.6 SX,2012,409999
Ford,Ford Ecosport 1.5 DV5 MT Titanium,2013,425000
Maruti,Maruti Wagon R LXI CNG,2013,250000
Maruti,Maruti Swift Dzire VXi,2009,200000
Maruti,Maruti Wagon R LXI CNG,2013,250000
Volkswagen,Volkswagen Polo Diesel Trendline 1.2L,2010,130000
Maruti,Maruti Eeco 5 Seater AC BSIV,2017,260000
Hyundai,Hyundai Verna SX,2007,155000
Honda,Honda Jazz 1.5 VX i DTEC,2015,450000
Maruti,Maruti SX4 Celebration Petrol,2012,220000
Hyundai,Hyundai i20 Active S Diesel,2018,650000
Maruti,Maruti Alto 800 LXI,2018,285000
Honda,Honda Amaze V CVT Petrol BSIV,2018,725000
Maruti,Maruti Ciaz ZXi,2016,625000
Hyundai,Hyundai i20 Active SX Petrol,2016,550000
Hyundai,Hyundai i10 Magna,2012,240000
Nissan,Nissan Terrano XL 85 PS,2014,600000
Tata,Tata New Safari DICOR 2.2 EX 4x2,2012,350000
Hyundai,Hyundai EON Magna Plus,2015,245000
Mahindra,Mahindra Bolero B6,2016,600000
BMW,BMW X1 sDrive 20d xLine,2017,2400000
Mahindra,Mahindra Scorpio SLE BS IV,2014,620000
Maruti,Maruti Swift Dzire 1.2 Vxi BSIV,2014,395000
Maruti,Maruti Ertiga ZXI,2014,635000
Maruti,Maruti Alto LX,2011,180000
Maruti,Maruti Swift ZDI Plus,2015,484999
Maruti,Maruti Alto LX,2004,110000
Maruti,Maruti Wagon R VXI BSIII,2006,150000
Chevrolet,Chevrolet Tavera Neo 2 LT L 9 Str,2012,400000
Tata,Tata Indica Vista Aura Plus 1.3 Quadrajet,2012,200000
Renault,Renault Duster 85PS Diesel RxL Plus,2013,302000
Maruti,Maruti Swift Dzire Vdi BSIV,2011,215000
Maruti,Maruti Wagon R VXI BSIII,2004,155000
Toyota,Toyota Innova 2.5 G (Diesel) 8 Seater,2014,1000000
Mahindra,Mahindra Bolero Power Plus SLX,2018,550000
Maruti,Maruti Swift 1.3 VXi,2006,200000
Mahindra,Mahindra Scorpio S2 7 Seater,2017,750000
Maruti,Maruti Zen LXI,2005,90000
Maruti,Maruti Wagon R LXI Minor,2007,80000
Hyundai,Hyundai EON D Lite Plus,2013,229999
Renault,Renault KWID 1.0 RXT Optional,2017,350000
Hyundai,Hyundai Grand i10 Magna,2015,325000
Tata,Tata Tigor 1.2 Revotron XT,2018,450000
Maruti,Maruti SX4 Celebration Diesel,2012,250000
Volkswagen,Volkswagen Polo Diesel Comfortline 1.2L,2012,225000
Maruti,Maruti Alto LXi,2009,150000
Maruti,Maruti Alto LX BSIII,2008,110000
Maruti,Maruti Alto LXi BSIII,2010,150000
Maruti,Maruti Gypsy King Hard Top,2000,165000
Renault,Renault Duster 85PS Diesel RxL,2017,610000
Tata,Tata Manza Club Class Quadrajet90 VX,2013,170000
Hyundai,Hyundai Verna CRDi,2008,150000
Hyundai,Hyundai i20 Asta 1.4 CRDi,2013,300000
Hyundai,Hyundai Xcent 1.1 CRDi Base,2015,375000
Maruti,Maruti Swift VDI,2013,390000
Hyundai,Hyundai i20 Active 1.2 S,2017,600000
Maruti,Maruti Alto 800 LXI,2014,204999
Hyundai,Hyundai Verna CRDi,2009,270000
Hyundai,Hyundai Grand i10 Sportz,2017,375000
Maruti,Maruti Baleno Zeta,2020,700000
Maruti,Maruti Swift VXI Deca,2017,455000
Hyundai,Hyundai i10 Sportz 1.1L,2017,375000
Hyundai,Hyundai Grand i10 Asta,2014,341000
Maruti,Maruti Swift Dzire VDI,2014,200000
Maruti,Maruti Ignis 1.2 AMT Delta BSIV,2017,450000
Hyundai,Hyundai Santro Xing GL Plus,2012,170000
Toyota,Toyota Innova Crysta 2.4 VX MT 8S BSIV,2017,1900000
Mahindra,Mahindra Bolero Power Plus LX,2016,500000
Maruti,Maruti Vitara Brezza ZDi Plus,2016,819999
Maruti,Maruti Swift 1.2 DLX,2014,351000
Hyundai,Hyundai i10 Magna 1.2 iTech SE,2011,195000
Maruti,Maruti Swift Dzire VDi,2008,250000
Maruti,Maruti Zen Estilo 1.1 VXI BSIII,2008,120000
Maruti,Maruti A-Star Vxi,2009,180000
Mahindra,Mahindra KUV 100 mFALCON D75 K6,2016,430000
Tata,Tata Nano Cx BSIV,2012,75000
Mahindra,Mahindra Xylo D4,2017,750000
Tata,Tata Nano Lx,2011,60000
Toyota,Toyota Innova 2.5 VX (Diesel) 8 Seater,2015,1500000
Mahindra,Mahindra Bolero SLX 2WD BSIII,2011,390000
Mahindra,Mahindra TUV 300 T4,2016,630000
Tata,Tata Safari Storme VX Varicor 400,2018,1085000
Hyundai,Hyundai i10 Magna 1.2 iTech SE,2012,190000
Maruti,Maruti Baleno Delta Automatic,2018,550000
Maruti,Maruti Alto 800 LXI,2012,200000
Chevrolet,Chevrolet Spark 1.0 LT,2011,165000
Ford,Ford Figo Diesel Celebration Edition,2013,260000
Maruti,Maruti Alto LX,2011,151000
Maruti,Maruti Vitara Brezza VDi,2018,780000
Tata,Tata Indica Vista Quadrajet LX,2012,175000
Tata,Tata Indica Vista TDI LS,2010,170000
Tata,Tata Indica Vista TDI LS,2013,210000
Maruti,Maruti Alto LXi,2007,90000
Hyundai,Hyundai i20 Active S Petrol,2016,535000
Maruti,Maruti Swift VDI BSIV,2007,195000
Tata,Tata Indica Vista Terra Quadrajet 1.3L,2011,140000
Nissan,Nissan Sunny XL,2012,350000
Hyundai,Hyundai Verna 1.6 SX VTVT (O),2013,425000
Renault,Renault KWID 1.0 RXT Optional,2017,300000
Volkswagen,Volkswagen Vento Diesel Style Limited Edition,2013,340000
Maruti,Maruti Swift Dzire VXi,2009,250000
Chevrolet,Chevrolet Aveo 1.4 LS,2008,170000
Honda,Honda Amaze S i-Dtech,2013,315000
Chevrolet,Chevrolet Beat PS,2015,200000
Chevrolet,Chevrolet Beat PS,2016,300000
Honda,Honda Amaze S i-Dtech,2015,300000
Honda,Honda City E,2013,380000
Maruti,Maruti Swift VXI BSIII,2009,250000
Honda,Honda Amaze S i-Dtech,2013,310000
Maruti,Maruti Wagon R VXI Minor ABS,2010,260000
Maruti,Maruti Omni BSIII 8-STR W/ IMMOBILISER,2008,150000
Maruti,Maruti Esteem Vxi - BSIII,2006,85000
Maruti,Maruti Alto 800 LXI,2015,280000
Mahindra,Mahindra Xylo H4 ABS,2016,850000
Datsun,Datsun GO Plus T Option BSIV,2017,375000
Hyundai,Hyundai Elantra CRDi (Leather Option),2006,125000
Chevrolet,Chevrolet Beat Diesel LT,2012,250000
Toyota,Toyota Corolla Altis D-4D J,2014,715000
Hyundai,Hyundai i20 1.4 CRDi Era,2011,220000
Tata,Tata Indica Vista Aqua 1.3 Quadrajet,2010,110000
Hyundai,Hyundai Verna XXi (Petrol),2007,150000
Nissan,Nissan Sunny Diesel XV,2012,300000
Datsun,Datsun RediGO T Option,2017,220000
Maruti,Maruti Wagon R LX,2006,75000
Tata,Tata Indigo LS,2009,100000
Ford,Ford Figo Aspire 1.2 Ti-VCT Trend,2016,380000
Hyundai,Hyundai Santro Xing XK (Non-AC),2007,100000
Volkswagen,Volkswagen Passat 1.8 TSI MT,2010,480000
Toyota,Toyota Etios GD,2012,300000
Chevrolet,Chevrolet Beat Diesel LS,2013,190000
Ford,Ford Figo Diesel LXI,2012,190000
Ford,Ford EcoSport 1.5 Ti VCT MT Trend BSIV,2017,650000
Toyota,Toyota Corolla Executive (HE),2009,300000
Ford,Ford Freestyle Titanium Diesel BSIV,2016,700000
Hyundai,Hyundai i10 Sportz 1.1L,2015,310000
Maruti,Maruti Ignis 1.2 Zeta BSIV,2018,500000
Toyota,Toyota Etios V,2013,415000
Maruti,Maruti Celerio VXI AT,2015,395000
Toyota,Toyota Etios Liva 1.2 G,2014,430000
Toyota,Toyota Corolla H6,2007,215000
Renault,Renault Duster RXL AWD,2014,550000
Volkswagen,Volkswagen Polo 1.5 TDI Trendline,2014,415000
Volkswagen,Volkswagen Polo 1.5 TDI Comfortline,2015,450000
Ford,Ford Figo Diesel EXI,2014,285000
Honda,Honda Jazz VX CVT,2016,580000
Maruti,Maruti Swift Dzire Tour LDI,2014,300000
Hyundai,Hyundai Verna CRDi 1.6 SX Option,2018,1200000
Maruti,Maruti 800 Std MPFi,2006,78000
Maruti,Maruti 800 AC,2002,65000
Tata,Tata Zest Quadrajet 1.3 75PS XE,2016,400000
Hyundai,Hyundai Verna 1.6 CRDI SX Option,2016,850000
Volkswagen,Volkswagen Vento Diesel Highline,2013,450000
Mercedes-Benz,Mercedes-Benz E-Class E250 CDI Blue Efficiency,2012,2500000
Toyota,Toyota Etios 1.4 VXD,2017,780000
Toyota,Toyota Fortuner 2.8 2WD AT BSIV,2017,3200000
Maruti,Maruti Alto 800 VXI,2020,350000
Mahindra,Mahindra Quanto C6,2013,285000
Volkswagen,Volkswagen Vento 1.5 TDI Highline,2015,525000
Maruti,Maruti Ciaz ZDi,2014,550000
Volkswagen,Volkswagen Ameo 1.5 TDI Comfortline,2018,580000
Tata,Tata Nano CX SE,2013,75000
Tata,Tata Manza Aura Quadrajet,2009,185000
Maruti,Maruti Omni E 8 Str STD,2007,110000
Honda,Honda City 1.5 EXI,2004,180000
Volkswagen,Volkswagen Polo Diesel Comfortline 1.2L,2010,350000
Chevrolet,Chevrolet Optra 1.6 LS,2005,60000
Mahindra,Mahindra TUV 300 T10,2018,695000
Mahindra,Mahindra Alturas G4 4X2 AT BSIV,2019,2700000
Maruti,Maruti Zen Estilo LX BSIII,2007,135000
Mahindra,Mahindra Bolero Power Plus Plus AC BSIV PS,2015,640000
Maruti,Maruti Alto 800 VXI,2014,160000
Tata,Tata Indica LXI,2004,80000
Maruti,Maruti Swift Dzire VDI,2013,340000
Maruti,Maruti Ritz VDi,2012,110000
Tata,Tata Sumo Gold EX,2013,250000
Toyota,Toyota Innova Crysta 2.4 VX MT BSIV,2017,1300000
Mahindra,Mahindra Quanto C6,2014,250000
Toyota,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2009,450000
Maruti,Maruti Wagon R LX Minor,2013,240000
Mahindra,Mahindra Bolero DI DX 7 Seater,2007,225000
Maruti,Maruti Wagon R VXI Optional,2015,275000
Tata,Tata Sumo Victa CX 7/9 Str BSII,2012,320000
Maruti,Maruti Alto LX BSIII,2008,75000
Tata,Tata Indica GLS BS IV,2007,85000
Tata,Tata Indica Vista Aqua TDI BSIII,2009,90000
Maruti,Maruti Wagon R LXI Minor,2007,85000
Mahindra,Mahindra Scorpio M2DI,2008,350000
Skoda,Skoda Superb Elegance 2.0 TDI CR AT,2009,355000
Maruti,Maruti Swift VXI,2020,619000
Jeep,Jeep Compass 2.0 Longitude Option BSIV,2018,1700000
Tata,Tata Indica DL,2006,55000
Ford,Ford Fiesta 1.6 ZXi Leather,2006,95000
Volkswagen,Volkswagen Vento Diesel Highline,2011,300000
Ford,Ford Fiesta 1.6 ZXi Leather,2006,81000
Skoda,Skoda Superb Elegance 2.0 TDI CR AT,2015,1000000
Maruti,Maruti Ertiga VDI,2019,925000
Mahindra,Mahindra Bolero Power Plus Plus AC BSIV PS,2015,450000
Mahindra,Mahindra Scorpio EX,2014,600000
Hyundai,Hyundai Santro Xing XL AT eRLX Euro III,2006,85000
Mahindra,Mahindra Thar DI 4X4 PS,2016,700000
Hyundai,Hyundai Grand i10 1.2 Kappa Magna BSIV,2017,486000
Maruti,Maruti Swift VDI,2013,400000
Ford,Ford Fiesta 1.4 Duratec ZXI,2008,120000
Maruti,Maruti Alto 800 LXI,2018,275000
Hyundai,Hyundai i20 Asta Option 1.4 CRDi,2016,580000
Maruti,Maruti Swift Dzire LXI,2015,375000
Maruti,Maruti Wagon R VXI BS IV with ABS,2015,229999
Maruti,Maruti Alto LX,2010,110000
Maruti,Maruti Swift Dzire VDI,2017,600000
Maruti,Maruti A-Star Vxi,2009,120000
Ford,Ford Figo Diesel Titanium,2010,200000
Hyundai,Hyundai Verna 1.6 SX CRDi (O),2012,450000
Hyundai,Hyundai Verna 1.6 SX CRDi (O),2012,550000
Maruti,Maruti Alto LX,2012,220000
Maruti,Maruti 800 EX,2001,40000
Renault,Renault KWID Climber 1.0 AMT,2017,300000
Mahindra,Mahindra Bolero Power Plus SLE,2018,630000
Maruti,Maruti Swift Dzire VDI,2017,610000
Hyundai,Hyundai Xcent 1.2 VTVT S,2019,660000
Maruti,Maruti Wagon R LXI LPG BSIV,2012,220000
Nissan,Nissan Micra Diesel XV Premium,2011,138000
Nissan,Nissan Micra Diesel XV Premium,2013,210000
Maruti,Maruti Zen LXi - BS III,2005,125000
Maruti,Maruti Alto LXi BSIII,2008,125000
Honda,Honda City i DTEC SV,2014,725000
Maruti,Maruti Alto K10 2010-2014 VXI,2011,170000
Toyota,Toyota Innova 2.5 VX (Diesel) 7 Seater,2015,1200000
Maruti,Maruti Wagon R VXI BSIII,2003,70000
Maruti,Maruti Alto LXi,2007,100000
Honda,Honda Civic 1.8 (E) MT,2006,300000
Maruti,Maruti Swift VDI,2013,450000
Maruti,Maruti Swift Dzire VDI,2015,530000
Maruti,Maruti Zen Estilo 1.1 LXI BSIII,2007,100000
Honda,Honda City 1.5 V MT,2010,350000
Tata,Tata Manza ELAN Quadrajet BS IV,2011,165000
Maruti,Maruti Swift Dzire ZDI,2019,475000
Mahindra,Mahindra Xylo E4 ABS BS IV,2013,350000
Renault,Renault KWID RXL,2016,229999
Honda,Honda WR-V i-DTEC VX,2018,800000
Maruti,Maruti Swift Dzire ZDI,2014,475000
Nissan,Nissan Terrano XL 110 PS,2014,425000
Maruti,Maruti Ciaz VDi Plus,2015,660000
Honda,Honda Amaze S CVT Petrol,2019,610000
Honda,Honda Brio S MT,2013,240000
Maruti,Maruti Esteem Lxi,2005,70000
Toyota,Toyota Corolla Altis Diesel D4DGL,2011,550000
Tata,Tata Indica Vista Aura 1.2 Safire,2010,100000
Mahindra,Mahindra Bolero SLE,2010,350000
Hyundai,Hyundai EON Era Plus,2013,200000
Hyundai,Hyundai Elite i20 Asta Option CVT BSIV,2019,720000
Maruti,Maruti Ritz VDi,2014,350000
Maruti,Maruti Wagon R VXI BS IV,2016,400000
Hyundai,Hyundai i20 Active 1.2 S,2017,570000
Maruti,Maruti Omni MPI STD BSIV,2015,130000
Maruti,Maruti Alto 800 LXI,2016,210000
Hyundai,Hyundai Creta 1.4 E Plus,2018,800000
Honda,Honda Jazz 1.5 E i DTEC,2017,700000
Tata,Tata Indica Vista Quadrajet VX,2011,200000
Tata,Tata Aria Pure LX 4x2,2014,495000
Ford,Ford Fiesta Classic 1.4 Duratorq CLXI,2014,325000
Ford,Ford Freestyle Trend Petrol BSIV,2019,650000
Mahindra,Mahindra Jeep MM 775 XDB,2000,155000
Maruti,Maruti 800 AC BSIII,2007,75000
Hyundai,Hyundai Grand i10 1.2 CRDi Magna,2015,350000
Maruti,Maruti Zen Estilo LX BSIV,2010,90000
Maruti,Maruti Ertiga SHVS VDI,2016,600000
Mahindra,Mahindra Scorpio SLE BSIII,2010,400000
Maruti,Maruti Swift VDI BSIV,2014,370000
Maruti,Maruti 800 DX,2000,50000
Honda,Honda City 1.5 GXI,2004,125000
Honda,Honda CR-V Diesel 4WD,2018,1800000
Hyundai,Hyundai Grand i10 1.2 Kappa Magna AT,2019,650000
Maruti,Maruti Ertiga BSIV VXI AT,2017,800000
Volkswagen,Volkswagen Polo 1.0 TSI Highline Plus,2020,802000
Audi,Audi A4 35 TDI Premium,2015,2300000
Hyundai,Hyundai Xcent 1.1 CRDi SX,2016,430000
Hyundai,Hyundai Verna 1.6 SX VTVT,2017,650000
Mahindra,Mahindra Scorpio 2.6 SLX Turbo 7 Seater,2004,170000
Skoda,Skoda Superb Elegance 2.0 TDI CR AT,2011,450000
Maruti,Maruti Alto 800 LXI,2013,250000
Ford,Ford Ecosport 1.0 Ecoboost Titanium,2014,550000
Jaguar,Jaguar XF 3.0 Litre S Premium Luxury,2013,2000000
Maruti,Maruti Zen Estilo VXI BSIII,2007,140000
Chevrolet,Chevrolet Beat LT,2012,155000
Hyundai,Hyundai Accent Executive,2010,120000
Toyota,Toyota Innova 2.5 E 8 STR,2012,287000
Maruti,Maruti Baleno Alpha 1.3,2016,675000
Hyundai,Hyundai i10 Magna 1.2 iTech SE,2011,235000
Hyundai,Hyundai i20 1.4 CRDi Asta,2011,300000
Nissan,Nissan Micra XL CVT,2015,434999
Mahindra,Mahindra Scorpio VLX AT 2WD BSIII,2004,225000
Toyota,Toyota Corolla AE,2006,160000
Hyundai,Hyundai Grand i10 Nios Sportz,2020,600000
Chevrolet,Chevrolet Tavera Neo 3 LT 9 Seats BSIII,2016,470000
Maruti,Maruti Swift Dzire VXi,2011,300000
Maruti,Maruti Baleno Delta 1.2,2018,600000
Hyundai,Hyundai Grand i10 Nios AMT Magna,2020,640000
Tata,Tata Indica DLS,2006,50000
Hyundai,Hyundai Verna 1.6 VTVT S,2015,600000
Hyundai,Hyundai i10 Magna LPG,2014,290000
Hyundai,Hyundai Verna 1.6 VTVT S,2015,600000
Tata,Tata Manza Aqua Quadrajet BS IV,2012,190000
Hyundai,Hyundai i10 Era 1.1,2008,160000
Maruti,Maruti Alto K10 VXI,2017,325000
Mahindra,Mahindra Bolero DI,2006,200000
Toyota,Toyota Fortuner 2.8 2WD AT BSIV,2018,2800000
Chevrolet,Chevrolet Spark 1.0 LS,2011,125000
Hyundai,Hyundai i10 Magna 1.1,2008,155000
Hyundai,Hyundai i20 Asta 1.4 CRDi,2015,550000
Maruti,Maruti Wagon R LX BSIII,2009,130000
Maruti,Maruti 800 AC,2002,80000
Toyota,Toyota Etios Cross 1.4L GD,2015,500000
Renault,Renault KWID RXT BSIV,2019,250000
Mahindra,Mahindra XUV500 W8 2WD,2012,580000
Daewoo,Daewoo Matiz SD,2002,60000
Toyota,Toyota Etios GD,2012,300000
Ford,Ford Figo Diesel Titanium,2014,200000
Tata,Tata Hexa XT,2017,1200000
Toyota,Toyota Etios Cross 1.4L GD,2015,350000
Mahindra,Mahindra XUV500 W8 4WD,2012,600000
Honda,Honda Jazz V,2019,650000
Maruti,Maruti A-Star Lxi,2008,120000
Tata,Tata New Safari DICOR 2.2 EX 4x2,2010,180000
Hyundai,Hyundai Verna VTVT 1.6 AT SX Option,2018,950000
Tata,Tata Manza Aura Quadrajet BS IV,2012,250999
Skoda,Skoda Laura Ambiente 2.0 TDI CR MT,2012,385000
Audi,Audi A8 L 3.0 TDI quattro,2009,1250000
Chevrolet,Chevrolet Beat LT,2013,165000
Hyundai,Hyundai Elantra SX,2015,700000
Mahindra,Mahindra XUV500 W8 4WD,2015,750000
Mahindra,Mahindra Renault Logan 1.5 DLS,2008,89999
Datsun,Datsun redi-GO AMT 1.0 T Option,2018,290000
Tata,Tata Nano Cx BSIII,2014,45000
Skoda,Skoda Superb Ambition 2.0 TDI CR AT,2013,675000
Nissan,Nissan Terrano XL Plus 85 PS,2015,530000
BMW,BMW X1 sDrive20d M Sport,2014,1485000
Chevrolet,Chevrolet Enjoy TCDi LT 7 Seater,2014,325000
Honda,Honda Amaze S Diesel,2015,400000
Mahindra,Mahindra KUV 100 D75 K6 Plus,2017,380000
Honda,Honda City i-VTEC CVT VX,2016,750000
Honda,Honda Brio VX,2017,390000
Maruti,Maruti Alto LXi,2009,110000
MG,MG Hector Sharp Diesel MT BSIV,2019,1825000
Audi,Audi A4 35 TDI Premium Plus,2019,3256000
Renault,Renault Scala Diesel RxL,2015,370000
Chevrolet,Chevrolet Beat Diesel LT,2013,210000
Skoda,Skoda Laura Ambiente 1.9 PD,2007,175000
Hyundai,Hyundai Verna 1.6 SX CRDi (O),2012,575000
Mahindra,Mahindra Xylo D4,2010,320000
Maruti,Maruti Swift Ldi BSIV,2010,280000
Renault,Renault Duster 85PS Diesel RxL Optional,2013,500000
Ford,Ford Fiesta Diesel Style,2013,380000
Maruti,Maruti 800 AC BSIII,2005,120000
Maruti,Maruti Eeco 5 Seater AC BSIV,2018,395000
Skoda,Skoda Laura 1.9 TDI MT Ambiente,2010,360000
Nissan,Nissan Terrano XL Plus 85 PS,2015,451000
Chevrolet,Chevrolet Spark 1.0 LS,2010,175000
Chevrolet,Chevrolet Spark 1.0 LS,2009,170000
Hyundai,Hyundai Santro Xing XL eRLX Euro III,2006,100000
Maruti,Maruti Omni MPI STD BSIV,2014,150000
Tata,Tata Indica Vista Quadrajet LX,2011,149000
Tata,Tata Indica Vista Aqua 1.3 Quadrajet,2011,160000
Datsun,Datsun GO Plus T Option Petrol,2018,434999
Mahindra,Mahindra XUV500 W8 4WD,2014,800000
Toyota,Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,2010,819999
Maruti,Maruti Baleno Vxi,2007,163000
Mercedes-Benz,Mercedes-Benz E-Class 220 CDI,2001,350000
Tata,Tata Indica GLS BS IV,2006,75000
Maruti,Maruti Alto LXi,2012,180000
Ford,Ford Figo Aspire 1.5 TDCi Trend,2017,675000
Maruti,Maruti Swift VDI,2013,400000
Volkswagen,Volkswagen Polo Diesel Highline 1.2L,2013,434999
Tata,Tata Indigo GLX,2006,100000
Maruti,Maruti Swift Dzire LDI Optional,2015,419000
Tata,Tata Indica GLS BS IV,2009,200000
Renault,Renault Scala Diesel RxL,2014,400000
Ford,Ford EcoSport 1.5 Diesel Ambiente BSIV,2018,790000
Renault,Renault Duster 85PS Diesel RxL Plus,2015,500000
Skoda,Skoda Rapid 1.6 TDI Elegance,2012,275000
Hyundai,Hyundai i20 1.4 CRDi Sportz,2012,450000
Mahindra,Mahindra XUV500 W11 Option AWD,2020,1400000
Renault,Renault Duster 110PS Diesel RxL,2015,800000
Maruti,Maruti Wagon R VXI,2014,315000
Maruti,Maruti Baleno Alpha,2019,700000
Mahindra,Mahindra Bolero SLX,2016,585000
Chevrolet,Chevrolet Sail 1.2 LT ABS,2014,350000
Honda,Honda City i-DTEC SV,2014,495000
Hyundai,Hyundai Grand i10 1.2 Kappa Asta,2017,500000
Hyundai,Hyundai Grand i10 1.2 Kappa Sportz Option,2013,345000
Maruti,Maruti Baleno Sigma 1.2,2015,500000
Maruti,Maruti Wagon R VXI,2016,360000
Maruti,Maruti Alto LXi BSIII,2010,210000
Maruti,Maruti Alto K10 LXI,2014,220000
Chevrolet,Chevrolet Aveo 1.4 LT BSIV,2009,250000
Toyota,Toyota Innova 2.5 G (Diesel) 8 Seater,2016,990000
Mahindra,Mahindra Quanto C4,2013,220000
Jaguar,Jaguar XF 3.0 Litre S Premium Luxury,2012,1800000
Honda,Honda City i VTEC V,2014,530000
Maruti,Maruti Baleno Alpha 1.3,2016,575000
Mahindra,Mahindra Xylo E4,2012,400000
Honda,Honda Mobilio S i DTEC,2016,680000
Hyundai,Hyundai Santa Fe 4WD AT,2014,1000000
Maruti,Maruti Alto 800 LXI,2016,260000
Tata,Tata Manza Aura (ABS) Safire BS IV,2010,150000
Maruti,Maruti Alto LXi BSIII,2008,180000
Force,Force One EX,2014,346000
Mahindra,Mahindra Xylo D2 BS IV,2015,450000
Hyundai,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,500000
